Symbol,Date,Open,High,Low,Close,Volume
A,21-Dec-2018,65.22,66.23,63.22,63.29,4683100
AA,21-Dec-2018,27.33,27.43,26.19,26.39,4323600
AAC,21-Dec-2018,1.63,1.63,1.55,1.56,264500
AAN,21-Dec-2018,41.92,42.05,40.13,40.76,2031700
AAP,21-Dec-2018,151.57,155.885,150.335,151.41,1872800
AAT,21-Dec-2018,40.41,41.065,39.99,40.21,592100
AB,21-Dec-2018,24.83,25.73,24.21,24.29,744500
ABB,21-Dec-2018,18.74,18.83,18.4,18.44,3030300
ABBV,21-Dec-2018,84.63,88.71,83.22,84.92,16044700
ABC,21-Dec-2018,73.21,75.56,71.545,71.98,2573500
ABEV,21-Dec-2018,3.85,3.89,3.81,3.84,21912100
ABG,21-Dec-2018,64.46,66.68,62.44,62.5,740500
ABM,21-Dec-2018,31.04,31.23,29.98,30.19,1371000
ABR,21-Dec-2018,10.15,10.37,9.96,9.96,2414700
ABR-A,21-Dec-2018,24.16,24.9,24.16,24.27,3200
ABR-B,21-Dec-2018,23.47,24.42,23.47,24.42,3900
ABR-C,21-Dec-2018,24.52,25.1,24.52,25.1,11900
ABT,21-Dec-2018,68.07,69.13,67.02,67.27,14240700
ABX,21-Dec-2018,13.25,13.425,13.07,13.12,33503900
AC,21-Dec-2018,35.44,36.015,35.17,35.56,40700
ACA,21-Dec-2018,24.43,24.7,23.63,24.49,1197500
ACB,21-Dec-2018,5.16,5.16,4.78,4.88,11137800
ACC,21-Dec-2018,42.76,43.46,42.05,42.17,3185300
ACCO,21-Dec-2018,6.5,6.69,6.43,6.45,1936300
ACH,21-Dec-2018,7.97,7.97,7.55,7.67,113700
ACM,21-Dec-2018,25.84,26.32,25.18,25.34,2929100
ACN,21-Dec-2018,141.02,144.85,136.93,137.2,6236900
ACP,21-Dec-2018,10.23,10.32,10.07,10.09,137300
ACRE,21-Dec-2018,13.19,13.41,12.95,13.22,226200
ACV,21-Dec-2018,18.35,18.42,17.71,17.72,96300
ADC,21-Dec-2018,57.94,59.19,57.74,58.63,1776100
ADM,21-Dec-2018,41.39,41.77,40.525,40.8,8213600
ADNT,21-Dec-2018,16.95,17.05,16.1,16.38,2964800
ADS,21-Dec-2018,154.28,156.42,148.55,149.06,1205300
ADSW,21-Dec-2018,23.51,23.7,22.96,23.08,1070100
ADT,21-Dec-2018,6.41,6.41,5.91,6.21,8084400
ADX,21-Dec-2018,12.42,12.435,12.12,12.15,467800
AEB,21-Dec-2018,18.75,18.81,18.01,18.23,91000
AED,21-Dec-2018,25,25.018,24.875,24.9,76300
AEE,21-Dec-2018,66.58,68.55,66.58,66.94,3520500
AEG,21-Dec-2018,4.61,4.655,4.51,4.53,3832700
AEH,21-Dec-2018,25.02,25.06,24.84,24.84,125100
AEL,21-Dec-2018,27.34,27.73,26.3,26.58,2300600
AEM,21-Dec-2018,40.3,40.67,39.59,39.69,4142000
AEO,21-Dec-2018,17.95,18.3,17,17.12,8690900
AEP,21-Dec-2018,77.6,79.25,76.41,76.43,6388600
AER,21-Dec-2018,42.21,42.495,39.16,39.18,3017400
AES,21-Dec-2018,14.62,14.77,14.26,14.45,21010900
AFB,21-Dec-2018,11.94,12.06,11.9,11.98,107600
AFC,21-Dec-2018,25.19,25.3,25.01,25.06,17400
AFG,21-Dec-2018,89.21,91.28,88.11,88.24,528700
AFGE,21-Dec-2018,24.73,24.73,24.3,24.41,24800
AFGH,21-Dec-2018,24.49,24.5,23.02,23.62,38600
AFI,21-Dec-2018,12.98,13.03,12.38,12.39,138000
AFL,21-Dec-2018,43.41,44.28,43.07,43.23,8134400
AFS-A,21-Dec-2018,11.47,12.6,11.47,12.11,25200
